theta,q,theta_via_q,y_rep
0.47672187,0.73836093,0.47672187,73.0
0.63044792,0.81522396,0.63044792,82.0
0.58784104,0.79392052,0.58784104,83.0
0.63464722,0.81732361,0.63464722,79.0
0.67116498,0.83558249,0.67116498,85.0
0.55316303,0.77658151,0.55316303,85.0
0.69603989,0.84801994,0.69603989,85.0
0.6085385,0.80426925,0.6085385,83.0
0.5240761,0.76203805,0.5240761,76.0
0.62724585,0.81362292,0.62724585,73.0
0.5398917,0.76994585,0.5398917,80.0
0.53178599,0.76589299,0.53178599,75.0
0.64540563,0.82270281,0.64540563,85.0
0.62494646,0.81247323,0.62494646,86.0
0.62389673,0.81194837,0.62389673,81.0
0.58503317,0.79251659,0.58503317,83.0
0.66920265,0.83460133,0.66920265,87.0
0.655067,0.8275335,0.655067,80.0
0.61626883,0.80813441,0.61626883,82.0
0.61207128,0.80603564,0.61207128,85.0
0.62833101,0.8141655,0.62833101,83.0
0.55513255,0.77756627,0.55513255,72.0
0.54746491,0.77373245,0.54746491,77.0
0.55219507,0.77609754,0.55219507,78.0
0.71464229,0.85732114,0.71464229,81.0
0.58722579,0.7936129,0.58722579,82.0
0.44060897,0.72030449,0.44060897,68.0
0.53419844,0.76709922,0.53419844,74.0
0.62789757,0.81394879,0.62789757,83.0
0.53069256,0.76534628,0.53069256,77.0
0.54643353,0.77321676,0.54643353,79.0
0.64076,0.82038,0.64076,84.0
0.5251069,0.76255345,0.5251069,70.0
0.50578471,0.75289236,0.50578471,71.0
0.57768091,0.78884046,0.57768091,78.0
0.59994879,0.79997439,0.59994879,78.0
0.53627039,0.76813519,0.53627039,70.0
0.53680851,0.76840426,0.53680851,78.0
0.51344943,0.75672472,0.51344943,80.0
0.64377327,0.82188664,0.64377327,84.0
0.66607166,0.83303583,0.66607166,87.0
0.70762516,0.85381258,0.70762516,85.0
0.70020115,0.85010058,0.70020115,78.0
0.57231559,0.7861578,0.57231559,79.0
0.62247574,0.81123787,0.62247574,78.0
0.71410516,0.85705258,0.71410516,86.0
0.68256474,0.84128237,0.68256474,81.0
0.61327651,0.80663826,0.61327651,77.0
0.60563971,0.80281985,0.60563971,77.0
0.57960097,0.78980048,0.57960097,79.0
0.61538468,0.80769234,0.61538468,83.0
0.62278471,0.81139236,0.62278471,81.0
0.58160037,0.79080019,0.58160037,77.0
0.63229989,0.81614994,0.63229989,81.0
0.62097306,0.81048653,0.62097306,86.0
0.6271173,0.81355865,0.6271173,78.0
