theta,p_forced,q,y_rep
0.50681934,0.63184088,0.81843104,82.0
0.50598193,0.64340296,0.82383462,83.0
0.5675658,0.61675776,0.83427295,85.0
0.46065714,0.58019456,0.77358093,79.0
0.47224594,0.61876132,0.79879974,90.0
0.4483373,0.45288611,0.69817768,67.0
0.6578736,0.51778112,0.83502019,85.0
0.63035472,0.4925965,0.81244069,87.0
0.44019669,0.60669149,0.7798246,75.0
0.64988086,0.49968057,0.82482859,82.0
0.60975473,0.43506678,0.77953749,79.0
0.55861701,0.47779459,0.76950741,77.0
0.6104769,0.4382078,0.78116896,71.0
0.68237453,0.46681464,0.83064675,85.0
0.55368902,0.58389813,0.81428916,81.0
0.60714001,0.52541796,0.81355571,81.0
0.52573665,0.48309012,0.75484859,77.0
0.63421044,0.5125507,0.82169613,82.0
0.53309785,0.51611044,0.77407092,80.0
0.57198989,0.53469457,0.80084457,82.0
0.56768069,0.45567043,0.76467582,75.0
0.59974405,0.45204686,0.78067849,87.0
0.62559537,0.47689765,0.80414806,77.0
0.61262437,0.45426919,0.78859719,80.0
0.63303666,0.49704864,0.81543529,83.0
0.6514772,0.38702708,0.78636496,78.0
0.65448668,0.41213801,0.79688585,79.0
0.63672991,0.4215654,0.78987201,82.0
0.45341635,0.58945037,0.77560029,65.0
0.51540211,0.61786673,0.81481903,73.0
0.32072278,0.59868296,0.72739448,76.0
0.56158127,0.59045433,0.82044751,80.0
0.52182419,0.53974676,0.77991803,83.0
0.49912501,0.49456067,0.74683808,72.0
0.61734988,0.49131712,0.80535244,84.0
0.63941732,0.48726485,0.81511659,81.0
0.54973354,0.51413043,0.78122923,76.0
0.59282349,0.47034733,0.78433787,83.0
0.44706743,0.62274548,0.79140369,85.0
0.75343236,0.37433329,0.84573083,84.0
0.75946322,0.37402355,0.84942964,86.0
0.75100058,0.32863154,0.83282964,82.0
0.48337747,0.60845607,0.79771958,79.0
0.51120917,0.5473687,0.77875797,72.0
0.60198399,0.59265512,0.83787022,87.0
0.60339817,0.39929502,0.76175931,79.0
0.77846436,0.49561885,0.8882616,86.0
