theta,q,y_rep
0.57236606,0.78618303,70.0
0.52841866,0.76420933,81.0
0.68001045,0.84000522,80.0
0.5504855,0.77524275,78.0
0.55618097,0.77809049,77.0
0.56276071,0.78138036,72.0
0.64425598,0.82212799,88.0
0.64863063,0.82431532,86.0
0.63052711,0.81526355,83.0
0.60435682,0.80217841,82.0
0.72764273,0.86382136,88.0
0.4808567,0.74042835,72.0
0.63623374,0.81811687,78.0
0.49096009,0.74548005,70.0
0.49186638,0.74593319,77.0
0.49527735,0.74763867,76.0
0.61578091,0.80789046,80.0
0.56543111,0.78271555,77.0
0.67678605,0.83839302,87.0
0.66170397,0.83085199,83.0
0.67256034,0.83628017,85.0
0.60983109,0.80491554,85.0
0.56409843,0.78204921,80.0
0.61498584,0.80749292,82.0
0.59767859,0.79883929,76.0
0.57708991,0.78854495,81.0
0.61570935,0.80785467,78.0
0.52695073,0.76347537,75.0
0.62492142,0.81246071,81.0
0.6305937,0.81529685,82.0
0.51923771,0.75961885,71.0
0.50138018,0.75069009,77.0
0.64783093,0.82391546,77.0
0.55786741,0.7789337,72.0
0.61833083,0.80916541,84.0
0.58879851,0.79439925,82.0
0.62713469,0.81356735,75.0
0.63543859,0.8177193,85.0
0.65512276,0.82756138,88.0
0.51903684,0.75951842,70.0
0.65930961,0.82965481,79.0
0.65428055,0.82714027,79.0
0.58903898,0.79451949,74.0
0.63045039,0.81522519,84.0
0.52897143,0.76448572,69.0
0.58633501,0.79316751,79.0
0.58773847,0.79386924,75.0
0.63946545,0.81973272,78.0
0.65813802,0.82906901,81.0
0.66430409,0.83215204,87.0
0.49955483,0.74977742,80.0
0.5052399,0.75261995,80.0
0.39641973,0.69820987,75.0
0.39162752,0.69581376,79.0
0.34097913,0.67048957,65.0
0.55345477,0.77672738,76.0
0.69291931,0.84645966,84.0
0.64888351,0.82444176,81.0
0.67344789,0.83672395,86.0
0.70114561,0.8505728,79.0
0.53888848,0.76944424,74.0
0.54791263,0.77395632,69.0
0.67002329,0.83501165,85.0
0.53182705,0.76591353,74.0
0.42471637,0.71235819,73.0
0.46270169,0.73135085,80.0
0.5035186,0.7517593,74.0
0.65612097,0.82806049,81.0
0.55237709,0.77618855,78.0
0.65227336,0.82613668,85.0
0.54216264,0.77108132,74.0
0.61454468,0.80727234,82.0
0.51634127,0.75817063,74.0
0.63458479,0.8172924,86.0
0.58033092,0.79016546,84.0
0.62530625,0.81265313,81.0
0.62055478,0.81027739,81.0
0.58262102,0.79131051,85.0
0.63341731,0.81670865,80.0
0.5307436,0.7653718,75.0
0.42824328,0.71412164,78.0
0.51384618,0.75692309,76.0
0.48187512,0.74093756,67.0
0.48220057,0.74110028,74.0
0.60911048,0.80455524,80.0
0.5426034,0.7713017,72.0
0.61860004,0.80930002,79.0
0.69324337,0.84662169,82.0
0.59615818,0.79807909,82.0
0.56735508,0.78367754,81.0
0.56735508,0.78367754,76.0
0.61350413,0.80675207,78.0
0.52681412,0.76340706,73.0
0.53926185,0.76963092,77.0
0.55864674,0.77932337,72.0
0.64454276,0.82227138,82.0
0.58964294,0.79482147,87.0
0.59402545,0.79701273,81.0
0.59402545,0.79701273,87.0
0.57052396,0.78526198,74.0
0.49207597,0.74603799,68.0
0.48291388,0.74145694,67.0
0.68549083,0.84274542,87.0
0.65736324,0.82868162,76.0
0.66288469,0.83144234,80.0
0.69765141,0.8488257,89.0
0.66829298,0.83414649,86.0
0.59399124,0.79699562,81.0
0.66596724,0.83298362,83.0
0.66247488,0.83123744,86.0
0.56160483,0.78080241,73.0
0.50389923,0.75194961,72.0
0.52841171,0.76420585,82.0
0.65924819,0.82962409,86.0
0.60865863,0.80432932,76.0
0.56621456,0.78310728,74.0
0.65541089,0.82770544,83.0
0.5682192,0.7841096,86.0
0.5682192,0.7841096,79.0
0.69362364,0.84681182,79.0
0.60645762,0.80322881,82.0
0.46604125,0.73302063,72.0
0.49078336,0.74539168,61.0
0.60289062,0.80144531,80.0
0.56426089,0.78213045,73.0
0.55549139,0.77774569,78.0
0.68316184,0.84158092,86.0
0.65057484,0.82528742,77.0
0.59379651,0.79689825,78.0
0.5241638,0.7620819,75.0
0.59941997,0.79970999,71.0
0.60311637,0.80155818,83.0
0.47606358,0.73803179,76.0
0.70875808,0.85437904,88.0
0.71035872,0.85517936,84.0
0.59721701,0.7986085,82.0
0.64607235,0.82303617,81.0
0.55120531,0.77560266,78.0
0.59775985,0.79887993,79.0
0.6453082,0.8226541,81.0
0.63513546,0.81756773,90.0
0.52238677,0.76119339,83.0
0.64194181,0.8209709,81.0
0.58765885,0.79382943,79.0
0.47059884,0.73529942,73.0
0.4357957,0.71789785,71.0
0.45264686,0.72632343,75.0
0.65812462,0.82906231,88.0
0.64338081,0.82169041,82.0
0.65493646,0.82746823,83.0
0.68009328,0.84004664,83.0
0.71791886,0.85895943,94.0
0.7324156,0.8662078,85.0
0.44439005,0.72219502,73.0
0.4470246,0.7235123,81.0
0.46239168,0.73119584,75.0
0.67198817,0.83599408,85.0
0.56447321,0.7822366,82.0
0.56280787,0.78140393,82.0
0.6863939,0.84319695,81.0
0.65940775,0.82970387,81.0
0.64093015,0.82046508,80.0
0.50949898,0.75474949,73.0
0.67338972,0.83669486,87.0
0.60009379,0.8000469,81.0
0.58408563,0.79204282,86.0
0.68634769,0.84317384,85.0
0.68142753,0.84071376,82.0
0.6757506,0.8378753,85.0
0.48315339,0.74157669,80.0
0.45537858,0.72768929,76.0
0.47849873,0.73924936,78.0
0.4775471,0.73877355,76.0
0.47902541,0.73951271,81.0
0.51006389,0.75503194,79.0
0.68165326,0.84082663,82.0
0.70611851,0.85305925,85.0
0.55754119,0.7787706,78.0
0.59831281,0.79915641,79.0
0.57137668,0.78568834,75.0
